stn;time;rre150z0
VEV;202105211130;0.0
VEV;202105211140;0.0
VEV;202105211150;0.0
VEV;202105211200;0.0
VEV;202105211210;0.0
VEV;202105211220;0.0
VEV;202105211230;0.0
VEV;202105211240;0.0
VEV;202105211250;0.0
VEV;202105211300;0.0
VEV;202105211310;0.0
VEV;202105211320;0.0
VEV;202105211330;0.0
VEV;202105211340;0.0
VEV;202105211350;0.2
VEV;202105211400;0.0
VEV;202105211410;0.0
VEV;202105211420;0.0
VEV;202105211430;0.0
VEV;202105211440;0.0
VEV;202105211450;0.0
VEV;202105211500;0.0
VEV;202105211510;0.0
VEV;202105211520;0.0
VEV;202105211530;0.0
VEV;202105211540;0.0
VEV;202105211550;0.0
VEV;202105211600;0.0
VEV;202105211610;0.0
VEV;202105211620;0.0
VEV;202105211630;0.0
VEV;202105211640;0.0
VEV;202105211650;0.0
VEV;202105211700;0.0
VEV;202105211710;0.7
VEV;202105211720;1.0
VEV;202105211730;0.4
VEV;202105211740;0.0
VEV;202105211750;1.7
VEV;202105211800;0.8
VEV;202105211810;0.2
VEV;202105211820;0.3
VEV;202105211830;0.0
VEV;202105211840;0.9
VEV;202105211850;0.0
VEV;202105211900;1.0
VEV;202105211910;1.1
VEV;202105211920;3.7
VEV;202105211930;1.1
VEV;202105211940;0.5
VEV;202105211950;0.4
VEV;202105212000;0.5
VEV;202105212010;0.2
VEV;202105212020;0.7
VEV;202105212030;0.6
VEV;202105212040;0.9
VEV;202105212050;0.6
VEV;202105212100;0.1
VEV;202105212110;0.4
VEV;202105212120;0.9
VEV;202105212130;0.9
VEV;202105212140;1.0
VEV;202105212150;1.0
VEV;202105212200;0.8
VEV;202105212210;1.0
VEV;202105212220;0.7
VEV;202105212230;0.2
VEV;202105212240;0.4
VEV;202105212250;0.7
VEV;202105212300;0.4
VEV;202105212310;0.4
VEV;202105212320;0.0
VEV;202105212330;0.1
VEV;202105212340;0.2
VEV;202105212350;0.0
VEV;202105220000;0.0
VEV;202105220010;0.0
VEV;202105220020;0.0
VEV;202105220030;0.0
VEV;202105220040;0.0
VEV;202105220050;0.0
VEV;202105220100;0.1
VEV;202105220110;0.0
VEV;202105220120;0.0
VEV;202105220130;0.0
VEV;202105220140;0.0
VEV;202105220150;0.1
VEV;202105220200;0.0
VEV;202105220210;0.0
VEV;202105220220;0.0
VEV;202105220230;0.0
VEV;202105220240;0.0
VEV;202105220250;0.0
VEV;202105220300;0.0
VEV;202105220310;0.0
VEV;202105220320;0.0
VEV;202105220330;0.0
VEV;202105220340;0.0
VEV;202105220350;0.0
VEV;202105220400;0.0
VEV;202105220410;0.0
VEV;202105220420;0.0
VEV;202105220430;0.0
VEV;202105220440;0.0
VEV;202105220450;0.0
VEV;202105220500;0.0
VEV;202105220510;0.0
VEV;202105220520;0.0
VEV;202105220530;0.0
VEV;202105220540;0.0
VEV;202105220550;0.0
VEV;202105220600;0.0
VEV;202105220610;0.0
VEV;202105220620;0.0
VEV;202105220630;0.0
VEV;202105220640;0.0
VEV;202105220650;0.0
VEV;202105220700;0.0
VEV;202105220710;0.0
VEV;202105220720;0.0
VEV;202105220730;0.0
VEV;202105220740;0.0
VEV;202105220750;0.0
VEV;202105220800;0.0
VEV;202105220810;0.0
VEV;202105220820;0.0
VEV;202105220830;0.0
VEV;202105220840;0.0
VEV;202105220850;0.0
VEV;202105220900;0.0
VEV;202105220910;0.0
VEV;202105220920;0.0
VEV;202105220930;0.0
VEV;202105220940;0.0
VEV;202105220950;0.0
VEV;202105221000;0.0
VEV;202105221010;0.0
VEV;202105221020;0.0
VEV;202105221030;0.0
VEV;202105221040;0.0
VEV;202105221050;0.0
VEV;202105221100;0.0
VEV;202105221110;0.0
VEV;202105221120;0.0
VEV;202105221130;0.0
VEV;202105221140;0.0
VEV;202105221150;0.0
VEV;202105221200;0.0
VEV;202105221210;0.0
VEV;202105221220;0.0
VEV;202105221230;0.0
VEV;202105221240;0.0
VEV;202105221250;0.0
VEV;202105221300;0.0
VEV;202105221310;0.0
VEV;202105221320;0.0
VEV;202105221330;0.0
VEV;202105221340;0.0
VEV;202105221350;0.0
VEV;202105221400;0.0
VEV;202105221410;0.0
VEV;202105221420;0.0
VEV;202105221430;0.0
VEV;202105221440;0.0
VEV;202105221450;0.0
VEV;202105221500;0.0
VEV;202105221510;0.0
VEV;202105221520;0.0
VEV;202105221530;0.0
VEV;202105221540;0.0
VEV;202105221550;0.0
VEV;202105221600;0.0
VEV;202105221610;0.0
VEV;202105221620;0.0
VEV;202105221630;0.0
VEV;202105221640;0.0
VEV;202105221650;0.0
VEV;202105221700;0.0
VEV;202105221710;0.0
VEV;202105221720;0.0
VEV;202105221730;0.0
VEV;202105221740;0.0
VEV;202105221750;0.0
VEV;202105221800;0.0
VEV;202105221810;0.0
VEV;202105221820;0.0
VEV;202105221830;0.0
VEV;202105221840;0.0
VEV;202105221850;0.0
VEV;202105221900;0.0
VEV;202105221910;0.0
VEV;202105221920;0.0
VEV;202105221930;0.0
VEV;202105221940;0.0
VEV;202105221950;0.0
VEV;202105222000;0.0
VEV;202105222010;0.0
VEV;202105222020;0.0
VEV;202105222030;0.0
VEV;202105222040;0.0
VEV;202105222050;0.0
VEV;202105222100;0.0
VEV;202105222110;0.3
VEV;202105222120;0.0
VEV;202105222130;0.3
VEV;202105222140;0.0
VEV;202105222150;0.0
VEV;202105222200;0.0
VEV;202105222210;0.4
VEV;202105222220;0.3
VEV;202105222230;0.4
VEV;202105222240;0.2
VEV;202105222250;0.2
VEV;202105222300;0.0
VEV;202105222310;0.0
VEV;202105222320;0.0
VEV;202105222330;0.0
VEV;202105222340;0.0
VEV;202105222350;0.0
VEV;202105230000;0.0
VEV;202105230010;0.0
VEV;202105230020;0.0
VEV;202105230030;0.0
VEV;202105230040;0.5
VEV;202105230050;0.4
VEV;202105230100;0.6
VEV;202105230110;0.3
VEV;202105230120;0.1
VEV;202105230130;0.2
VEV;202105230140;0.1
VEV;202105230150;0.2
VEV;202105230200;0.1
VEV;202105230210;0.0
VEV;202105230220;0.0
VEV;202105230230;0.0
VEV;202105230240;0.1
VEV;202105230250;0.1
VEV;202105230300;0.2
VEV;202105230310;0.0
VEV;202105230320;0.0
VEV;202105230330;0.0
VEV;202105230340;0.0
VEV;202105230350;0.0
VEV;202105230400;0.0
VEV;202105230410;0.0
VEV;202105230420;0.0
VEV;202105230430;0.0
VEV;202105230440;0.0
VEV;202105230450;0.0
VEV;202105230500;0.0
VEV;202105230510;0.0
VEV;202105230520;0.0
VEV;202105230530;0.0
VEV;202105230540;0.0
VEV;202105230550;0.0
VEV;202105230600;0.0
VEV;202105230610;0.0
VEV;202105230620;0.0
VEV;202105230630;0.0
VEV;202105230640;0.0
VEV;202105230650;0.0
VEV;202105230700;0.0
VEV;202105230710;0.0
VEV;202105230720;0.0
VEV;202105230730;0.0
VEV;202105230740;0.0
VEV;202105230750;0.0
VEV;202105230800;0.0
VEV;202105230810;0.0
VEV;202105230820;0.0
VEV;202105230830;0.0
VEV;202105230840;0.0
VEV;202105230850;0.0
VEV;202105230900;0.0
VEV;202105230910;0.0
VEV;202105230920;0.0
VEV;202105230930;0.0
VEV;202105230940;0.0
VEV;202105230950;0.0
VEV;202105231000;0.0
VEV;202105231010;0.0
VEV;202105231020;0.0
VEV;202105231030;0.0
VEV;202105231040;0.0
VEV;202105231050;0.0
VEV;202105231100;0.0
VEV;202105231110;0.0
VEV;202105231120;0.0
VEV;202105231130;0.0
VEV;202105231140;0.0
VEV;202105231150;0.0
VEV;202105231200;0.0
VEV;202105231210;0.0
VEV;202105231220;0.0
VEV;202105231230;0.0
VEV;202105231240;0.0
VEV;202105231250;0.0
VEV;202105231300;0.0
VEV;202105231310;0.0
VEV;202105231320;0.0
VEV;202105231330;0.0
VEV;202105231340;0.0
VEV;202105231350;0.0
VEV;202105231400;0.0
VEV;202105231410;0.0
VEV;202105231420;0.0
VEV;202105231430;0.0
VEV;202105231440;0.0
VEV;202105231450;0.0
VEV;202105231500;0.0
VEV;202105231510;0.0
VEV;202105231520;0.0
VEV;202105231530;0.0
VEV;202105231540;0.0
VEV;202105231550;0.0
VEV;202105231600;0.0
VEV;202105231610;0.0
VEV;202105231620;0.0
VEV;202105231630;0.0
VEV;202105231640;0.0
VEV;202105231650;0.0
VEV;202105231700;0.0
VEV;202105231710;0.0
VEV;202105231720;0.0
VEV;202105231730;0.0
VEV;202105231740;0.0
VEV;202105231750;0.0
VEV;202105231800;0.0
VEV;202105231810;0.0
VEV;202105231820;0.0
VEV;202105231830;0.0
VEV;202105231840;0.0
VEV;202105231850;0.0
VEV;202105231900;0.0
VEV;202105231910;0.0
VEV;202105231920;0.0
VEV;202105231930;0.0
VEV;202105231940;0.0
VEV;202105231950;0.0
VEV;202105232000;0.0
VEV;202105232010;0.0
VEV;202105232020;0.0
VEV;202105232030;0.0
VEV;202105232040;0.0
VEV;202105232050;0.0
VEV;202105232100;0.0
VEV;202105232110;0.0
VEV;202105232120;0.0
VEV;202105232130;0.0
VEV;202105232140;0.0
VEV;202105232150;0.0
VEV;202105232200;0.0
VEV;202105232210;0.0
VEV;202105232220;0.0
VEV;202105232230;0.0
VEV;202105232240;0.0
VEV;202105232250;0.0
VEV;202105232300;0.0
VEV;202105232310;0.0
VEV;202105232320;0.0
VEV;202105232330;0.0
VEV;202105232340;0.0
VEV;202105232350;0.0
VEV;202105240000;0.0
VEV;202105240010;0.0
VEV;202105240020;0.0
VEV;202105240030;0.0
VEV;202105240040;0.0
VEV;202105240050;0.0
VEV;202105240100;0.0
VEV;202105240110;0.0
VEV;202105240120;0.0
VEV;202105240130;0.0
VEV;202105240140;0.0
VEV;202105240150;0.0
VEV;202105240200;0.0
VEV;202105240210;0.0
VEV;202105240220;0.0
VEV;202105240230;0.0
VEV;202105240240;0.0
VEV;202105240250;0.0
VEV;202105240300;0.0
VEV;202105240310;0.0
VEV;202105240320;0.0
VEV;202105240330;0.0
VEV;202105240340;0.0
VEV;202105240350;0.0
VEV;202105240400;0.0
VEV;202105240410;0.0
VEV;202105240420;0.0
VEV;202105240430;0.0
VEV;202105240440;0.0
VEV;202105240450;0.0
VEV;202105240500;0.0
VEV;202105240510;0.0
VEV;202105240520;0.0
VEV;202105240530;0.0
VEV;202105240540;0.0
VEV;202105240550;0.0
VEV;202105240600;0.0
VEV;202105240610;0.0
VEV;202105240620;0.0
VEV;202105240630;0.0
VEV;202105240640;0.0
VEV;202105240650;0.0
VEV;202105240700;0.0
VEV;202105240710;0.0
VEV;202105240720;0.0
VEV;202105240730;0.0
VEV;202105240740;0.0
VEV;202105240750;0.0
VEV;202105240800;0.0
VEV;202105240810;0.0
VEV;202105240820;0.0
VEV;202105240830;0.0
VEV;202105240840;0.0
VEV;202105240850;0.0
VEV;202105240900;0.0
VEV;202105240910;0.0
VEV;202105240920;0.0
VEV;202105240930;0.0
VEV;202105240940;0.0
VEV;202105240950;0.0
VEV;202105241000;0.0
VEV;202105241010;0.0
VEV;202105241020;0.0
VEV;202105241030;0.0
VEV;202105241040;0.0
